,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
6,572.476187,11.93969,10.445132,1.319643,700,{'n_estimators': 700},0.926884,0.927784,0.929415,0.928028,0.001047,1
8,725.675119,5.819742,12.765859,0.229541,900,{'n_estimators': 900},0.926471,0.928246,0.929244,0.927987,0.001147,2
7,657.974933,13.767257,11.447578,0.83166,800,{'n_estimators': 800},0.926568,0.928806,0.928417,0.92793,0.000976,3
3,336.439386,4.672177,5.709961,0.123669,400,{'n_estimators': 400},0.92669,0.928344,0.928733,0.927922,0.000886,4
9,811.957862,11.382311,14.334915,0.73998,1000,{'n_estimators': 1000},0.926763,0.928076,0.928684,0.927841,0.000802,5
5,486.635726,5.91703,8.86234,0.195034,600,{'n_estimators': 600},0.926446,0.928149,0.928733,0.927776,0.00097,6
4,409.017031,2.933947,7.021429,0.376479,500,{'n_estimators': 500},0.926641,0.927735,0.928855,0.927744,0.000904,7
2,251.231239,1.910248,4.289006,0.078245,300,{'n_estimators': 300},0.926105,0.92737,0.929025,0.9275,0.001196,8
1,172.234687,6.329354,2.833043,0.052194,200,{'n_estimators': 200},0.926227,0.927589,0.928392,0.927403,0.000894,9
0,63.936535,2.749864,1.046329,0.083233,100,{'n_estimators': 100},0.925107,0.926883,0.928198,0.926729,0.001266,10
