id,place,place_like,street,street_like,town,district,search,not,coords,lat,long
0,Howard,howard,Vía Interamericana,,Veracruz,Arraiján,carretera panamericana howard panama,direcci[oó]n (a|hacia) howard,"8.950471,-79.5863459",8.950471,-79.5863459
1,Loma Cobá,loma co[vb][áa],Vía Interamericana,,El Cristal,Arraiján,loma cobá el cristal,direcci[oó]n (a|hacia) loma co[vb][áa],"8.9498449,-79.6332267",8.9498449,-79.6332267
2,Burunga,burunga,Autopista Panamá-La Chorrera,centenario,Burunga,Arraiján,vía centenario los cortijos panama,direcci[oó]n (a|hacia) burunga,"8.9821919,-79.6479439",8.9821919,-79.6479439
3,Burunga,burunga,Vía Interamericana,interamericana|panamericana,Burunga,Arraiján,carretera panamericana burunga panama,direcci[oó]n (a|hacia) burunga,"8.9530687,-79.6624935",8.9530687,-79.6624935
4,Power Club,power[ ]*club,Ricardo J. Alfaro (Tumba Muerto),ricardo.*alfaro|tumba muerto,Betania,Panamá,powerclub ricardo j alfaro panama,,"9.00304,-79.5333753",9.00304,-79.5333753
5,Banco Nacional,banco nacional,Ricardo J. Alfaro (Tumba Muerto),ricardo.*alfaro|tumba muerto,Betania,Panamá,,,"9.01293,-79.53495",9.01293,-79.53495
6,Price Smart,price[ ]*smart,Ricardo J. Alfaro (Tumba Muerto),ricardo.*alfaro|tumba muerto,Betania,Panamá,pricesmart betania panama,,"9.01503,-79.53520",9.01503,-79.53520
7,McDonald's,mc[ ]*donald,Ricardo J. Alfaro (Tumba Muerto),ricardo.*alfaro|tumba muerto,Betania,Panamá,mcdonalds betania panama,,"9.01416,-79.53512",9.01416,-79.53512
8,Do it Center,do[ ]*it[ ]*center,Ricardo J. Alfaro (Tumba Muerto),ricardo.*alfaro|tumba muerto,Betania,Panamá,doit center betania panama,,"9.00670,-79.53778",9.00670,-79.53778
9,Supermercado 99,99,Ricardo J. Alfaro (Tumba Muerto),ricardo.*alfaro|tumba muerto,Betania,Panamá,super 99 ricardo j alfaro panama,,"9.0004583,-79.53281344620615",9.0004583,-79.53281344620615
10,Servicio Nacional de Migración,migraci[oó],Ricardo J. Alfaro (Tumba Muerto),ricardo.*alfaro|tumba muerto,Betania,Panamá,migración ricardo j alfaro panama,,"9.0194835,-79.5336747987287",9.0194835,-79.5336747987287
11,Universidad Latina,universidad latina,Ricardo J. Alfaro (Tumba Muerto),ricardo.*alfaro|tumba muerto,Betania,Panamá,universidad latina betania panama,,"9.02875,-79.51934",9.02875,-79.51934
12,USMA,usma,Ricardo J. Alfaro (Tumba Muerto),ricardo.*alfaro|tumba muerto,Betania,Panamá,usma betania panama,,"9.02875,-79.51934",9.02875,-79.51934
13,UTP Tocumen,universidad tecnol[oó]gica|\sutp\s,Avenida Domingo Díaz,tocumen|domingo d[ií]az,Las Mañanitas,Panamá,,,"9.06885,-79.40644",9.06885,-79.40644
